,column,missing_count_death_in_study_False,missing_prop_death_in_study_False,missing_count_death_in_study_True,missing_prop_death_in_study_True,test_type,p_value,death_in_study_False_summary,death_in_study_True_summary
0,gender,18,0.001180482686253935,2,0.002285714285714286,chi2,0.8054203099836936,"{2.0: 0.6038824763903463, 1.0: 0.39493704092339976, nan: 0.001180482686253935}","{2.0: 0.608, 1.0: 0.38971428571428574, nan: 0.002285714285714286}"
1,country,9,0.0005902413431269675,0,0.0,chi2,0.9835380737446446,"{12.0: 0.9986227701993704, nan: 0.0005902413431269675, 149.0: 0.0003279118572927597, 150.0: 0.00026232948583420777, 234.0: 6.558237145855194e-05, 68.0: 6.558237145855194e-05, 196.0: 6.558237145855194e-05}",{12.0: 1.0}
2,age,24,0.0015739769150052466,0,0.0,t-test,1.8555724977813093e-16,"{'count': 15224.0, 'mean': 81.47858644245927, 'std': 7.124492484867512, 'min': 24.0, '25%': 77.0, '50%': 82.0, '75%': 86.0, 'max': 105.0}","{'count': 875.0, 'mean': 83.51085714285715, 'std': 6.96974885846319, 'min': 51.0, '25%': 80.0, '50%': 84.0, '75%': 88.0, 'max': 101.0}"
3,hospital_state,6,0.00039349422875131166,0,0.0,chi2,6.934606065460265e-05,"{2.0: 0.2828567681007345, 1.0: 0.28226652675760755, 3.0: 0.24652413431269674, 5.0: 0.09627492130115425, 4.0: 0.08178121720881427, 6.0: 0.009837355718782791, nan: 0.00039349422875131166, 8.0: 6.558237145855194e-05}","{2.0: 0.2925714285714286, 1.0: 0.2925714285714286, 3.0: 0.2651428571428571, 4.0: 0.09028571428571429, 5.0: 0.05142857142857143, 6.0: 0.006857142857142857, 8.0: 0.001142857142857143}"
4,residential_loc_pre,858,0.05626967471143757,65,0.07428571428571429,chi2,3.162617804591015e-05,"{2.0: 0.6101783840503673, 1.0: 0.30876180482686255, nan: 0.05626967471143757, 3.0: 0.024790136411332635}","{2.0: 0.5897142857142857, 1.0: 0.28685714285714287, nan: 0.07428571428571429, 3.0: 0.04914285714285714}"
5,race,668,0.043809024134312695,32,0.036571428571428574,chi2,0.39248210896589264,"{1.0: 0.8972980062959076, 5.0: 0.045186253934942286, nan: 0.043809024134312695, 2.0: 0.009247114375655823, 3.0: 0.003475865687303253, 4.0: 0.000983735571878279}","{1.0: 0.888, 5.0: 0.05942857142857143, nan: 0.036571428571428574, 2.0: 0.011428571428571429, 3.0: 0.0034285714285714284, 4.0: 0.001142857142857143}"
6,insurance,39,0.002557712486883526,1,0.001142857142857143,chi2,0.003265011142767873,"{3.0: 0.6232948583420777, 2.0: 0.33197796432318993, 1.0: 0.0373819517313746, 4.0: 0.004787513116474291, nan: 0.002557712486883526}","{3.0: 0.6148571428571429, 2.0: 0.32571428571428573, 1.0: 0.05828571428571429, nan: 0.001142857142857143}"
7,cad,50,0.003279118572927597,1,0.001142857142857143,chi2,0.15067242344582457,"{1.0: 0.6207371458551941, 0.0: 0.37598373557187825, nan: 0.003279118572927597}","{1.0: 0.6468571428571429, 0.0: 0.352, nan: 0.001142857142857143}"
8,prior_acute_mi,88,0.005771248688352571,2,0.002285714285714286,chi2,0.0007482597265955776,"{0.0: 0.8626705141657922, 1.0: 0.13155823714585518, nan: 0.005771248688352571}","{0.0: 0.8251428571428572, 1.0: 0.17257142857142857, nan: 0.002285714285714286}"
9,prior_cardio_surg,73,0.004787513116474291,2,0.002285714285714286,chi2,0.2835586984125268,"{1.0: 0.7820041972717734, 2.0: 0.19530430220356768, 3.0: 0.015477439664218258, nan: 0.004787513116474291, 4.0: 0.0016395592864637985, 5.0: 0.0007869884575026233}","{1.0: 0.776, 2.0: 0.19885714285714284, 3.0: 0.022857142857142857, nan: 0.002285714285714286}"
