,column,missing_count_has_12mnth_fup_False,missing_prop_has_12mnth_fup_False,missing_count_has_12mnth_fup_True,missing_prop_has_12mnth_fup_True,test_type,p_value,has_12mnth_fup_False_summary,has_12mnth_fup_True_summary,has_12mnth_fup_False_count,has_12mnth_fup_True_count
0,gender,16,0.002258610954263128,4,0.000442526828188959,chi2,0.18969543858343946,"{2.0: 0.6092603049124788, 1.0: 0.38848108413325805, nan: 0.002258610954263128}","{2.0: 0.6000663790242283, 1.0: 0.3994910941475827, nan: 0.000442526828188959}","{2.0: 4316, 1.0: 2752, nan: 16}","{2.0: 5424, 1.0: 3611, nan: 4}"
1,country,4,0.000564652738565782,5,0.0005531585352361987,chi2,0.13899977908047575,"{12.0: 0.9988706945228685, nan: 0.000564652738565782, 150.0: 0.00042348955392433656, 234.0: 0.0001411631846414455}","{12.0: 0.9985617878083859, 149.0: 0.0005531585352361987, nan: 0.0005531585352361987, 68.0: 0.00011063170704723974, 196.0: 0.00011063170704723974, 150.0: 0.00011063170704723974}","{12.0: 7076, nan: 4, 150.0: 3, 234.0: 1}","{12.0: 9026, 149.0: 5, nan: 5, 68.0: 1, 196.0: 1, 150.0: 1}"
2,age,16,0.002258610954263128,8,0.000885053656377918,t-test,4.576803451019361e-09,"{'count': 7068.0, 'mean': 81.21547821165818, 'std': 7.2409150925375005, 'min': 24.0, '25%': 77.0, '50%': 82.0, '75%': 86.0, 'max': 105.0}","{'count': 9031.0, 'mean': 81.88140848189569, 'std': 7.030088699223475, 'min': 32.0, '25%': 78.0, '50%': 83.0, '75%': 87.0, 'max': 101.0}",,
3,hospital_state,4,0.000564652738565782,2,0.0002212634140944795,chi2,2.804785450053091e-54,"{1.0: 0.2867024280067758, 2.0: 0.27625635234330886, 3.0: 0.2251552795031056, 5.0: 0.13156408808582723, 4.0: 0.06719367588932806, 6.0: 0.012422360248447204, nan: 0.000564652738565782, 8.0: 0.0001411631846414455}","{2.0: 0.2889700188073902, 1.0: 0.2797875871224693, 3.0: 0.2650735700851864, 4.0: 0.09403695099015377, 5.0: 0.06427702179444629, 6.0: 0.007522956079212302, nan: 0.0002212634140944795, 8.0: 0.00011063170704723974}","{1.0: 2031, 2.0: 1957, 3.0: 1595, 5.0: 932, 4.0: 476, 6.0: 88, nan: 4, 8.0: 1}","{2.0: 2612, 1.0: 2529, 3.0: 2396, 4.0: 850, 5.0: 581, 6.0: 68, nan: 2, 8.0: 1}"
4,residential_loc_pre,237,0.033455674760022584,686,0.07589335103440646,chi2,0.004156466156492323,"{2.0: 0.6113777526821005, 1.0: 0.3287690570299266, nan: 0.033455674760022584, 3.0: 0.026397515527950312}","{2.0: 0.607257439982299, 1.0: 0.2909613895342405, nan: 0.07589335103440646, 3.0: 0.0258878194490541}","{2.0: 4331, 1.0: 2329, nan: 237, 3.0: 187}","{2.0: 5489, 1.0: 2630, nan: 686, 3.0: 234}"
5,race,485,0.06846414455110107,215,0.023785817015156543,chi2,3.636900460881318e-07,"{1.0: 0.8828345567476003, nan: 0.06846414455110107, 5.0: 0.03402032749858837, 2.0: 0.00945793337097685, 3.0: 0.00409373235460192, 4.0: 0.001129305477131564}","{1.0: 0.9077331563226021, 5.0: 0.05531585352361987, nan: 0.023785817015156543, 2.0: 0.009293063391968137, 3.0: 0.002987056090275473, 4.0: 0.000885053656377918}","{1.0: 6254, nan: 485, 5.0: 241, 2.0: 67, 3.0: 29, 4.0: 8}","{1.0: 8205, 5.0: 500, nan: 215, 2.0: 84, 3.0: 27, 4.0: 8}"
6,insurance,39,0.005505364201016375,1,0.00011063170704723974,chi2,1.867315807496959e-06,"{3.0: 0.620694522868436, 2.0: 0.33695652173913043, 1.0: 0.030632411067193676, 4.0: 0.006211180124223602, nan: 0.005505364201016375}","{3.0: 0.6245159862816684, 2.0: 0.3274698528598296, 1.0: 0.04469520964708486, 4.0: 0.0032083195043699523, nan: 0.00011063170704723974}","{3.0: 4397, 2.0: 2387, 1.0: 217, 4.0: 44, nan: 39}","{3.0: 5645, 2.0: 2960, 1.0: 404, 4.0: 29, nan: 1}"
7,cad,36,0.005081874647092038,15,0.001659475605708596,chi2,0.8861968435498482,"{1.0: 0.6202710333145116, 0.0: 0.3746470920383964, nan: 0.005081874647092038}","{1.0: 0.6236309326252905, 0.0: 0.374709591769001, nan: 0.001659475605708596}","{1.0: 4394, 0.0: 2654, nan: 36}","{1.0: 5637, 0.0: 3387, nan: 15}"
8,prior_acute_mi,63,0.008893280632411068,27,0.002987056090275473,chi2,0.00015559726554265494,"{0.0: 0.8692828910220215, 1.0: 0.12182382834556747, nan: 0.008893280632411068}","{0.0: 0.8538555149905963, 1.0: 0.14315742891912822, nan: 0.002987056090275473}","{0.0: 6158, 1.0: 863, nan: 63}","{0.0: 7718, 1.0: 1294, nan: 27}"
9,prior_cardio_surg,51,0.007199322416713721,24,0.002655160969133754,chi2,0.000414389628700861,"{1.0: 0.7934782608695652, 2.0: 0.18322981366459629, 3.0: 0.013128176171654432, nan: 0.007199322416713721, 4.0: 0.001976284584980237, 5.0: 0.0009881422924901185}","{1.0: 0.7724305786038279, 2.0: 0.20511118486558247, 3.0: 0.018032968248700078, nan: 0.002655160969133754, 4.0: 0.001216948777519637, 5.0: 0.0005531585352361987}","{1.0: 5621, 2.0: 1298, 3.0: 93, nan: 51, 4.0: 14, 5.0: 7}","{1.0: 6982, 2.0: 1854, 3.0: 163, nan: 24, 4.0: 11, 5.0: 5}"
10,prior_pci,42,0.005928853754940711,17,0.0018807390198030756,chi2,5.177288614694672e-06,"{0.0: 0.7522586109542632, 1.0: 0.24181253529079616, nan: 0.005928853754940711}","{0.0: 0.7234207323819006, 1.0: 0.2746985285982963, nan: 0.0018807390198030756}","{0.0: 5329, 1.0: 1713, nan: 42}","{0.0: 6539, 1.0: 2483, nan: 17}"
11,prior_cabg,28,0.003952569169960474,14,0.0015488438986613563,chi2,3.015139644412645e-05,"{0.0: 0.8560135516657256, 1.0: 0.14003387916431395, nan: 0.003952569169960474}","{0.0: 0.8340524394291404, 1.0: 0.16439871667219824, nan: 0.0015488438986613563}","{0.0: 6064, 1.0: 992, nan: 28}","{0.0: 7539, 1.0: 1486, nan: 14}"
