,importances_mean,importances_std
creatinine,0.05119380294953666,0.0057024131175265605
creatinine_adj,0.03460383386577441,0.0029844156473403196
av_peak_vel,0.0267850287642857,0.002874360735329823
weight,0.025825652812444887,0.0026416975901130593
haemoglobin_adj,0.025524123362217876,0.0031735457967754493
meds_diuretics_1.0,0.02312914071952461,0.0043708691488161065
age,0.020312336668500897,0.0034177810737183187
kccq_summ_bl,0.0198633193113986,0.0015952997110395388
av_mean_grad_tte,0.015250583660748118,0.0031292534743083003
av_area_tte,0.012685131299290631,0.0026875094424109723
initial_bav_1.0,0.010057475066606814,0.002253223769171476
lvef_value,0.008054754985884949,0.0018630714800104494
albumin_adj,0.0062282468308109355,0.0024247747472632866
prior_cardio_surg_1.0,0.004927274723745878,0.0018068328935984639
aortic_insuff_4.0,0.00465383529647323,0.001672604117459295
chronic_lung_2.0,0.00332176933834063,0.0015672173254545985
meds_aspirin_1.0,0.003189093211381966,0.001588839762948798
prior_valve_replace_1.0,0.0030245600354015245,0.0010337381149393562
nyha_status_3.0,0.0026318704690248664,0.0006957107148965838
meds_statins_1.0,0.0023173045194852413,0.0009150546833806172
prox_lad_1.0,0.0021309955429855477,0.00024621000265288953
ecg_rhythm_paced_1.0,0.001723835304980259,0.001679950569063367
ecg_rhythm_sinus_1.0,0.001621377533477486,0.0006341978899882149
ecg_rhythm_Fibrillation_1.0,0.0010445925823393321,0.0007680492940422658
artery_calc_3.0,0.0009105615423361302,0.0011707120701486687
mitral_regurg_1.0,0.0008760831377460088,0.00045023314646166584
aortic_insuff_3.0,0.0007910571052752058,0.0007744374988091014
prior_acute_mi_1.0,0.0004502704499649068,0.0002374082547040553
iliofem_tort_2.0,0.0001800805425420382,0.00034100371186302945
valve_calc_1.0,0.0,0.0
annualar_calc_ctaort_1.0,0.0,0.0
av_disease_etiology_2.0,0.0,0.0
high_cfa_burif_1.0,0.0,0.0
valve_morph_1.0,0.0,0.0
artery_calc_2.0,0.0,0.0
artery_calc_4.0,0.0,0.0
iliofem_tort_3.0,0.0,0.0
iliofem_tort_4.0,0.0,0.0
procedure_indic_1.0,0.0,0.0
anaesthesia_2.0,0.0,0.0
anaesthesia_4.0,0.0,0.0
platelet_count_adj,0.0,0.0
aortic_insuff_2.0,0.0,0.0
gender_2.0,0.0,0.0
diseased_vessels_number_4.0,0.0,0.0
chronic_lung_3.0,0.0,0.0
prior_pci_1.0,0.0,0.0
prior_cabg_1.0,0.0,0.0
prior_bav_1.0,0.0,0.0
prior_af_1.0,0.0,0.0
prior_generator_1.0,0.0,0.0
prior_ccf_1.0,0.0,0.0
prior_stroke_1.0,0.0,0.0
prior_tia_1.0,0.0,0.0
prior_carotid_sten_2.0,0.0,0.0
prior_carotid_sten_3.0,0.0,0.0
prior_carotid_sten_4.0,0.0,0.0
prior_carotid_sten_5.0,0.0,0.0
prior_pad_1.0,0.0,0.0
chronic_lung_4.0,0.0,0.0
diseased_vessels_number_3.0,0.0,0.0
hypertension_1.0,0.0,0.0
diabetes_1.0,0.0,0.0
ckd_1.0,0.0,0.0
dialysis_1.0,0.0,0.0
meds_ACE_ARB_1.0,0.0,0.0
meds_p2y12_1.0,0.0,0.0
meds_beta_blocker_1.0,0.0,0.0
meds_doac_1.0,0.0,0.0
ecg_conduct_none_1.0,0.0,0.0
cad_1.0,0.0,0.0
ecg_conduct_LBBB_1.0,0.0,0.0
ecg_conduct_1DAVBlock_1.0,0.0,0.0
diseased_vessels_number_2.0,0.0,0.0
ecg_conduct_RBBB_1.0,0.0,0.0
