,feature,feature_importance
1,creatinine,0.09119755247782407
0,albumin,0.08301444519847062
5,bmi,0.060486681360171594
2,age,0.05705518163541821
3,kccq_summ_bl,0.05448031434180469
4,haemoglobin,0.04742496535699492
16,iliac_mld_right,0.04313553014857589
18,platelet_count,0.03979171550679199
12,perimeter,0.0384543948063017
9,annulus_area_ctaort,0.03239699709066139
10,lvef_value,0.028467530296152507
22,lmca_height,0.02830093923023244
29,av_mean_grad_tte,0.027301738658662533
8,av_area_tte,0.02692152803145719
27,ascending_ao,0.026557366041597714
13,femoral_mld_right,0.02620899010342562
17,weight,0.02601886984621453
31,femoral_mld_left,0.025213258127389095
23,rca_height,0.019874446032840023
48,iliac_mld_left,0.0170409882152456
21,av_peak_vel,0.016789027722570793
32,height,0.016210028401998065
33,annulus_max_dim,0.0157739780049271
38,lv_internal_dia_dim_value,0.015753758255408857
6,prior_af_1.0,0.014149609617638411
7,prior_pad_1.0,0.009835636897219245
15,chronic_lung_3.0,0.009817814445071998
45,posterior_wall,0.00922646417305417
20,chronic_lung_4.0,0.008817422196814095
41,annulus_min_dim,0.008392530899494504
26,meds_diuretics_1.0,0.006551526478721003
46,meds_beta_blocker_1.0,0.006531402457265604
44,chronic_lung_2.0,0.00610905410983998
19,prior_bav_1.0,0.006017223186008203
11,prior_ccf_1.0,0.005105742902823407
47,prior_carotid_sten_5.0,0.004420502079360232
43,meds_aspirin_1.0,0.004185387265113724
24,ecg_rhythm_sinus_1.0,0.004008606543803657
36,artery_calc_4.0,0.003825550505311736
34,meds_statins_1.0,0.0036246494706645917
14,ecg_rhythm_Fibrillation_1.0,0.0034898612618713223
35,meds_p2y12_1.0,0.0034650870375131453
39,valve_in_valve_1.0,0.003220242691885159
49,valve_morph_1.0,0.0027924786535199336
25,meds_ACE_ARB_1.0,0.002482222913775599
42,prior_valve_replace_1.0,0.002386762407571371
50,device_manufacturer_1_3.0,0.001606014525090935
37,dialysis_1.0,0.0015016199749307534
30,av_disease_etiology_2.0,0.0013691930896339302
28,nyha_status_3.0,0.0012993350271609915
40,high_cfa_burif_1.0,0.0010952748586784248
51,artery_calc_3.0,0.0008025594390267374
