,importances_mean,importances_std
kccq_summ_bl,0.017954785820827567,0.002853834902044002
age,0.014173391185550166,0.00247859841123262
haemoglobin_adj,0.013337191717363427,0.002745838719210492
creatinine,0.010711041502800889,0.004101590138079224
weight,0.00732129610415877,0.0008132377653135444
albumin_adj,0.006645129276983486,0.001377295434846453
prior_af_1.0,0.005876157801748949,0.000840770388268965
lvef_value,0.005259282974424373,0.002236308634385817
av_area_tte,0.005149050689710099,0.000976061907320928
prior_pad_1.0,0.003709236050881204,0.002561309129208064
chronic_lung_4.0,0.0028881393093603603,0.001035047562154975
chronic_lung_3.0,0.0012040809516914441,0.0012806040548687411
meds_p2y12_1.0,0.0011402226880326439,0.00023566207048810055
prior_ccf_1.0,0.0011159381345454244,0.0008630936059063912
prior_carotid_sten_5.0,0.0009713259383850703,0.00012195830336665341
meds_ACE_ARB_1.0,0.000839866756930907,0.0003725978104805095
ecg_rhythm_Fibrillation_1.0,0.0008263742629990078,0.0005479496560303896
prior_bav_1.0,0.0007837243216302303,0.00024860212138148635
chronic_lung_2.0,0.0006725212733786013,0.0001410919097055462
av_mean_grad_tte,0.0006344648115927942,0.00036414816033945586
high_cfa_burif_1.0,0.0006179170402063506,0.0002213899013877278
meds_diuretics_1.0,0.0005210028909303554,0.00042709806428884345
meds_statins_1.0,0.0005088273252395359,0.00048306243209820203
platelet_count_adj,0.00048700499488838476,0.00029251487247241285
artery_calc_4.0,0.00044058074350350473,0.00017904410110842372
prior_valve_replace_1.0,0.0004095524326618971,0.00033343916346926736
av_disease_etiology_2.0,0.0003591678516117858,0.00015642754085592962
dialysis_1.0,0.00034279325932162763,0.00012069850345067694
meds_beta_blocker_1.0,0.0002447239107601806,7.71217971941168e-05
artery_calc_2.0,0.000218607177678809,0.0001281438867504301
diseased_vessels_number_4.0,0.00021164924621717152,0.00011108952214476486
diseased_vessels_number_3.0,0.0001470147966256663,0.00015468909970770288
ecg_rhythm_paced_1.0,0.00014190875828836713,7.655648400362935e-05
valve_morph_1.0,9.433092445081393e-05,0.00012293915989747842
ecg_rhythm_sinus_1.0,8.40942781795473e-05,0.001039512768014233
procedure_indic_1.0,7.734555696288225e-05,8.866768351575601e-05
prior_cabg_1.0,4.689066915819495e-05,1.686898292510521e-05
nyha_status_3.0,1.3628991018932447e-05,0.00010251058135965042
valve_calc_1.0,0.0,0.0
annualar_calc_ctaort_1.0,0.0,0.0
iliofem_tort_3.0,0.0,0.0
iliofem_tort_2.0,0.0,0.0
iliofem_tort_4.0,0.0,0.0
initial_bav_1.0,0.0,0.0
anaesthesia_4.0,0.0,0.0
mitral_regurg_1.0,0.0,0.0
anaesthesia_2.0,0.0,0.0
gender_2.0,0.0,0.0
diabetes_1.0,0.0,0.0
aortic_insuff_3.0,0.0,0.0
prior_acute_mi_1.0,0.0,0.0
prior_cardio_surg_1.0,0.0,0.0
prior_pci_1.0,0.0,0.0
prior_generator_1.0,0.0,0.0
prior_stroke_1.0,0.0,0.0
prior_tia_1.0,0.0,0.0
prior_carotid_sten_2.0,0.0,0.0
prior_carotid_sten_3.0,0.0,0.0
prior_carotid_sten_4.0,0.0,0.0
hypertension_1.0,0.0,0.0
ecg_conduct_RBBB_1.0,0.0,0.0
meds_doac_1.0,0.0,0.0
ecg_conduct_none_1.0,0.0,0.0
cad_1.0,0.0,0.0
ecg_conduct_LBBB_1.0,0.0,0.0
ecg_conduct_1DAVBlock_1.0,0.0,0.0
diseased_vessels_number_2.0,0.0,0.0
prox_lad_1.0,0.0,0.0
aortic_insuff_2.0,0.0,0.0
av_peak_vel,-5.766822143016271e-06,0.00044138254723089524
meds_aspirin_1.0,-7.493957868964785e-06,0.00038702357508376794
artery_calc_3.0,-1.606713782469349e-05,5.611440349470973e-05
aortic_insuff_4.0,-2.3078550860855528e-05,0.00010381039878325664
ckd_1.0,-0.00042261535338219416,0.0004934340028301915
