,importances_mean,importances_std
age,0.016999812671408866,0.0028691873910622213
kccq_summ_bl,0.014324941405126811,0.004388761347328377
weight,0.01377946553922491,0.00136122210803349
albumin_adj,0.012182526003021388,0.0010364334957215482
haemoglobin_adj,0.0070770310754186385,0.0009913508193464746
creatinine,0.0064274396697826305,0.001873876871566501
av_area_tte,0.0061550794547031275,0.0011602570297585334
lvef_value,0.005479604816245409,0.0006830160585602227
prior_pad_1.0,0.005445646896627276,0.0008938917278132096
av_mean_grad_tte,0.005126660740681266,0.000896139130051677
prior_af_1.0,0.004115666036941201,0.001235030272991181
meds_statins_1.0,0.003221678500291292,0.0006376837794597116
chronic_lung_4.0,0.003201127023061012,0.001026155012997011
prior_carotid_sten_5.0,0.003197747136786955,0.0004871458509932564
chronic_lung_3.0,0.003144210108745815,0.001101400978736183
meds_p2y12_1.0,0.0027983278652748966,0.0008821366508322055
platelet_count_adj,0.0026671624778051182,0.0005621735856030318
artery_calc_4.0,0.0026414754641433504,0.0003558502152243041
creatinine_adj,0.0021218658473858066,0.0019426035023130924
diseased_vessels_number_4.0,0.0019342361997846114,0.0004779340808917089
av_disease_etiology_2.0,0.0011747698559671394,0.0002656494948572294
av_peak_vel,0.0010102883715082279,0.0006509770653748217
prior_ccf_1.0,0.0008654395408123072,0.0007657309049757501
anaesthesia_4.0,0.0006399217886963182,0.0002272097932676632
ecg_rhythm_Fibrillation_1.0,0.0006204141964221809,0.0008587161132626668
anaesthesia_2.0,0.0006196206507169011,0.00021086530210565602
mitral_regurg_1.0,0.000618932661628846,0.00048213726372877856
ecg_rhythm_sinus_1.0,0.0005669346746387971,0.0010934507865580636
high_cfa_burif_1.0,0.0005546740676534822,0.0002514091159452997
meds_ACE_ARB_1.0,0.0005497980874611619,0.000577388813333487
meds_diuretics_1.0,0.0005099813417873466,0.00037470923420342866
valve_morph_1.0,0.0004191672794293444,0.0003478611627543996
chronic_lung_2.0,0.000413158541339298,0.00010369835132335776
valve_calc_1.0,0.0004042366850477874,0.00014366876062523468
meds_beta_blocker_1.0,0.000396756973046819,5.57240203991601e-05
meds_doac_1.0,0.00035372817264398557,8.525125081542422e-05
aortic_insuff_4.0,0.0002625702398479923,0.00011092171096572937
procedure_indic_1.0,0.0002602814630024319,0.00023726542774537632
diabetes_1.0,0.0002406783504235177,0.00011426401155700114
prior_bav_1.0,0.00019459361523992412,0.00012662803677990298
diseased_vessels_number_3.0,0.00018034359247762755,0.00016146090965579328
prior_stroke_1.0,0.00015385875924422976,4.403598754498666e-05
annualar_calc_ctaort_1.0,0.0001519999459600685,3.853354901231033e-05
iliofem_tort_2.0,0.00013514239116045877,8.863586792459934e-05
hypertension_1.0,0.00012553703435964626,0.00010474858594348723
prior_cabg_1.0,0.00011848629948345568,0.00014852242576257507
meds_aspirin_1.0,0.00010134879223595572,0.00021569726677705216
prior_cardio_surg_1.0,8.537089662907782e-05,5.5502577002286355e-05
prox_lad_1.0,6.830613404094077e-05,0.00023010111161663106
prior_generator_1.0,5.2065756207730905e-05,6.214045699706947e-05
ecg_rhythm_paced_1.0,4.9013461551328244e-05,0.00025280838618005656
initial_bav_1.0,3.29971116433736e-05,5.653890508341317e-05
dialysis_1.0,2.5465328762419582e-05,0.00015603049682984735
prior_carotid_sten_4.0,2.5069444256820005e-05,7.164522385796329e-05
iliofem_tort_3.0,0.0,0.0
iliofem_tort_4.0,0.0,0.0
gender_2.0,0.0,0.0
artery_calc_3.0,0.0,0.0
artery_calc_2.0,0.0,0.0
prior_acute_mi_1.0,0.0,0.0
prior_pci_1.0,0.0,0.0
prior_valve_replace_1.0,0.0,0.0
prior_tia_1.0,0.0,0.0
prior_carotid_sten_2.0,0.0,0.0
prior_carotid_sten_3.0,0.0,0.0
ecg_conduct_RBBB_1.0,0.0,0.0
ecg_conduct_none_1.0,0.0,0.0
cad_1.0,0.0,0.0
ecg_conduct_LBBB_1.0,0.0,0.0
ecg_conduct_1DAVBlock_1.0,0.0,0.0
diseased_vessels_number_2.0,0.0,0.0
aortic_insuff_2.0,0.0,0.0
aortic_insuff_3.0,0.0,0.0
nyha_status_3.0,-3.0308068106021936e-05,0.00017141923906315297
ckd_1.0,-0.0004302369789644045,0.0002841283040908267
