,importances_mean,importances_std
age,0.015993450323220658,0.0020708334722599523
haemoglobin_adj,0.014063261878030132,0.0020662406730553055
weight,0.013506391168042397,0.001000397469586285
kccq_summ_bl,0.013251971601171997,0.0019699835676514066
albumin_adj,0.007176292644431958,0.001497713929791747
prior_af_1.0,0.006408323146236761,0.0003227314951005589
av_area_tte,0.005565266671573111,0.0006856246834562863
creatinine,0.005286299424058782,0.001724265954720821
creatinine_adj,0.005190072212845065,0.0029006050012116385
chronic_lung_4.0,0.004947884214175802,0.0014382175783797637
lvef_value,0.004883912719208139,0.0017102323355935058
av_peak_vel,0.003017390288586652,0.0004796454104079921
prior_pad_1.0,0.0028392164648608498,0.001732219265453918
chronic_lung_3.0,0.002385952690712978,0.0015964444171822356
platelet_count_adj,0.0023024480127304737,0.00029755914307458785
ecg_rhythm_Fibrillation_1.0,0.0022013645747871458,0.0005826529671811178
av_mean_grad_tte,0.002006147974282224,0.00047477238880429094
chronic_lung_2.0,0.0019163991021853733,0.0003361873989486343
prior_bav_1.0,0.0018491649192756698,0.00039510303425921667
av_disease_etiology_2.0,0.001820569580995901,0.0006004230764819269
prior_valve_replace_1.0,0.00148568705683243,0.00016100747522314305
meds_p2y12_1.0,0.0014805446424848157,0.00030617583762016296
prior_ccf_1.0,0.0014486353720285284,0.0008394614449238316
artery_calc_4.0,0.0013947282176780095,0.00030310522861135626
meds_statins_1.0,0.0011592275132987328,0.0007314132916389842
artery_calc_2.0,0.0011532668492594488,0.0003001297593184722
meds_ACE_ARB_1.0,0.00093510490408788,0.00040314440338588776
meds_beta_blocker_1.0,0.0008003252386278303,0.00012077978083411185
prior_carotid_sten_5.0,0.0007628532931548415,9.056639524001915e-05
procedure_indic_1.0,0.0007155194260590081,0.00014019058142236834
diseased_vessels_number_4.0,0.0006676168454388121,0.00022992367893781752
meds_diuretics_1.0,0.0006563146167163358,0.00038289395221111896
ecg_rhythm_paced_1.0,0.0006310314019268848,0.0001063539808972708
prox_lad_1.0,0.0003543040377120388,8.954450317020863e-05
hypertension_1.0,0.0003531832788888023,0.00013731499186800546
diseased_vessels_number_3.0,0.0003522446583908767,0.00018680698391204938
valve_morph_1.0,0.00033354017692766025,0.0002983650500868981
meds_aspirin_1.0,0.0003272715472365073,0.0003738874684609204
nyha_status_3.0,0.0003245512456696353,0.00021390072352579808
valve_calc_1.0,0.0002850151724147043,0.000190171188746393
artery_calc_3.0,0.0002813182960547334,9.125349514501028e-05
mitral_regurg_1.0,0.0002688441729926883,0.00012299741752102151
high_cfa_burif_1.0,0.00025800710511025837,4.6078391494563935e-05
anaesthesia_4.0,0.00025750694039590184,6.970649106916453e-05
ecg_conduct_LBBB_1.0,0.0001893963016434963,4.579923094884447e-05
aortic_insuff_2.0,0.0001710937858483197,0.00015326250079600095
ecg_conduct_RBBB_1.0,0.00016738355480923063,7.711371307525842e-05
ecg_rhythm_sinus_1.0,0.00015878115216156897,0.0007378622470064592
gender_2.0,0.00014931821982271386,0.00013998576516624663
aortic_insuff_3.0,0.00010670267198715777,8.947660453653243e-05
meds_doac_1.0,0.00010585690816076188,1.9078023530101342e-05
prior_acute_mi_1.0,0.00010336940764399394,7.696652663136441e-05
prior_carotid_sten_4.0,4.754246688223329e-05,7.16362664287836e-05
prior_carotid_sten_2.0,3.381419019623522e-05,3.139691406630737e-05
aortic_insuff_4.0,2.3981238859405175e-05,9.021597881805253e-05
prior_generator_1.0,1.4953947248996791e-05,5.384131145108966e-05
diabetes_1.0,1.5019923084169662e-06,4.462581711262435e-06
iliofem_tort_2.0,0.0,0.0
ecg_conduct_1DAVBlock_1.0,0.0,0.0
diseased_vessels_number_2.0,0.0,0.0
prior_cardio_surg_1.0,0.0,0.0
prior_pci_1.0,0.0,0.0
prior_tia_1.0,0.0,0.0
iliofem_tort_3.0,0.0,0.0
prior_carotid_sten_3.0,0.0,0.0
initial_bav_1.0,0.0,0.0
anaesthesia_2.0,0.0,0.0
iliofem_tort_4.0,0.0,0.0
prior_cabg_1.0,-3.599896486461418e-07,1.8598264446185287e-05
annualar_calc_ctaort_1.0,-8.204593921656845e-06,0.00012537010873356263
ecg_conduct_none_1.0,-2.52073840361966e-05,0.00011707421034081944
cad_1.0,-2.9950220834962238e-05,3.6201866279231536e-05
prior_stroke_1.0,-5.422437190822915e-05,3.289298399675561e-05
dialysis_1.0,-7.644768943833035e-05,0.00016081643312820142
ckd_1.0,-0.0002607895156226503,0.0002680406452455864
