,importances_mean,importances_std
weight,0.011835858788254262,0.0017756718605655877
age,0.01059582924282938,0.002447661472801318
anaesthesia_4.0,0.01002386825352013,0.0021952736397836915
chronic_lung_3.0,0.009629834621761878,0.0017293884381999185
meds_p2y12_1.0,0.00909893342462682,0.0022794588218832844
prior_carotid_sten_5.0,0.00886192229387639,0.0009543171386977323
kccq_summ_bl,0.008331262185242428,0.0017827153319082715
meds_beta_blocker_1.0,0.007648370814576899,0.001117868448699243
meds_statins_1.0,0.007487266029252782,0.000815036423923459
chronic_lung_2.0,0.006812266928507671,0.0005460642636956666
aortic_insuff_4.0,0.006151607123353986,0.0006092527915175523
av_peak_vel,0.00591762924034771,0.00020684237587622332
prior_cardio_surg_1.0,0.005817596870694786,0.001114892799905083
albumin_adj,0.005586291828152512,0.0003031117971326794
av_area_tte,0.005534423604156502,0.000772497417281465
prior_af_1.0,0.0055243228894189976,0.0016849871594600485
initial_bav_1.0,0.00548692859454798,0.00045662085849281745
aortic_insuff_3.0,0.005471704100706676,0.0005293655797043382
chronic_lung_4.0,0.005437918530630803,0.0010285016798488105
haemoglobin_adj,0.005232239987520715,0.0008271058596996207
high_cfa_burif_1.0,0.004659110818114098,0.0015269383619178317
av_mean_grad_tte,0.004558128221850999,0.00012234344233831684
iliofem_tort_2.0,0.004521517388493934,0.000446330609346075
meds_doac_1.0,0.004400844925953917,0.0006017269006633296
gender_2.0,0.004393385324910693,0.00033123981066983247
anaesthesia_2.0,0.0042171620739834825,0.00021545200325006993
aortic_insuff_2.0,0.004152282802674811,0.0009150939162077003
cad_1.0,0.004141135768287474,0.0007739254155516948
prior_acute_mi_1.0,0.004070430286806004,0.00037529818151039296
meds_ACE_ARB_1.0,0.004041503657475798,0.0006427402535321515
hypertension_1.0,0.003958755108953493,0.0004114343054566102
meds_aspirin_1.0,0.003920390390333317,0.0008668467908819145
artery_calc_2.0,0.0039090011723950545,0.000339034319553525
artery_calc_3.0,0.003886632784271993,0.00020036207616276649
mitral_regurg_1.0,0.0038730644545747596,0.00038781097741696696
ecg_conduct_none_1.0,0.00376468553190612,0.00034536416272207027
annualar_calc_ctaort_1.0,0.003750717035333717,0.00033579429467178295
ecg_conduct_1DAVBlock_1.0,0.0037076482324754243,0.0004589130734736214
artery_calc_4.0,0.003702042417202356,0.0002926332210463515
prior_pci_1.0,0.0036023406725436804,0.0003162510826099007
ecg_rhythm_paced_1.0,0.0035349101510087078,0.0005880335369445454
iliofem_tort_3.0,0.0034206669986471374,0.00023045675977594843
lvef_value,0.003403769003811075,0.00042137683355899353
prox_lad_1.0,0.003364346583634337,0.0009630008629884446
platelet_count_adj,0.0033491461633432308,0.0006730647014268487
diabetes_1.0,0.0033479640291607326,0.00010187200283701642
meds_diuretics_1.0,0.0033246765274919767,0.00044425020781583744
procedure_indic_1.0,0.0032690989460251174,0.0003945310781431649
ckd_1.0,0.0032033521486283913,0.0005423939069894292
ecg_conduct_LBBB_1.0,0.0030971865071839576,0.0005113881794046687
diseased_vessels_number_3.0,0.0029991803417705578,0.000694940731967067
creatinine,0.0029748048124666805,0.0010351379619497848
valve_calc_1.0,0.0029239749239900357,0.00026708423926656674
av_disease_etiology_2.0,0.0028825323778051805,0.0007475597500654627
diseased_vessels_number_2.0,0.0028441555262626707,0.0001824877271567141
valve_morph_1.0,0.0028349473266777504,0.0002999936222699936
ecg_conduct_RBBB_1.0,0.002753730544804478,0.0002923133668668478
prior_cabg_1.0,0.002728099792982497,0.00029965022521531937
prior_pad_1.0,0.0026966445848226384,0.0007988604426977802
prior_ccf_1.0,0.0026270781300995693,0.0009344575558611103
nyha_status_3.0,0.00257490494009287,0.0005179054378633221
ecg_rhythm_Fibrillation_1.0,0.002526128055084742,0.00067161100671702
prior_valve_replace_1.0,0.002425420387209276,0.0004261988610285152
prior_stroke_1.0,0.0023757176199311835,0.00022306112807544054
prior_generator_1.0,0.002308608046768956,0.0001286283203718026
prior_carotid_sten_4.0,0.002247545079059399,0.0005720385368852451
prior_tia_1.0,0.0022042389089161453,0.00015593146689017512
ecg_rhythm_sinus_1.0,0.0020057779019833745,0.0006075672120339305
prior_bav_1.0,0.0018273400297442067,0.0001344736741093213
prior_carotid_sten_2.0,0.001633311560259143,0.00012713640755859657
iliofem_tort_4.0,0.0016033232098621396,0.0001592870915425108
diseased_vessels_number_4.0,0.0013720611224047774,0.00023387968725247543
prior_carotid_sten_3.0,0.00109421366612219,0.00019754407325935696
dialysis_1.0,0.0003653065439603642,0.00037532452458406733
creatinine_adj,-0.000227425970538242,0.0006558495579003312
