,model,test_ci,test_ipcw,test_auc,test_brier,n_features
0,cph,0.6921345553284461,0.6694707537082347,0.6985755249719212,0.037290898,75
1,cph,0.6357646360688362,0.6302950055624861,0.6356057480843783,0.036934149,5
2,cph,0.662430843,0.6520604295295085,0.6588723351555645,0.037187016,10
3,cph,0.6908757964646858,0.6759773132878475,0.6922865521310733,0.036997962,15
4,cph,0.6875340913858935,0.676775243,0.6867316346830964,0.036937469,20
5,ridge_cph,0.6889247202258573,0.6758019073743461,0.6872017416490868,0.036771497,75
6,ridge_cph,0.6851874052184546,0.6767495777107096,0.6772646905846489,0.036879819,20
7,ridge_cph,0.6829036569942037,0.6771612678087624,0.6750488508275713,0.036841308,15
8,ridge_cph,0.6814111286271736,0.6717813699367202,0.6717089522979518,0.037094017,10
9,ridge_cph,0.6669024341998789,0.6640456700901537,0.6572756275950076,0.037175736,5
10,lasso_cph,0.6928838165568749,0.682717184,0.6889634578981687,0.037020625,75
11,lasso_cph,0.6924042893706805,0.6878216479605658,0.6868835706495109,0.036883811,20
12,lasso_cph,0.6886310098243132,0.6794409277275002,0.6839374385923329,0.037051181,15
13,lasso_cph,0.68459399,0.6750851235488511,0.6800131360430539,0.037117866,10
14,lasso_cph,0.6609832704952916,0.65999801,0.653274596,0.037425161,5
15,elastic_cph,0.6927219761315343,0.6822375668766038,0.6887082807234327,0.036907999,75
16,elastic_cph,0.6879776540331234,0.6826723491384479,0.6797177114589462,0.036945966,20
17,elastic_cph,0.6898987598228147,0.6819280422695593,0.6826943516346783,0.036981555,15
18,elastic_cph,0.6795020110171371,0.6694591420652974,0.6731294576421566,0.037115659,10
19,elastic_cph,0.6615437178941563,0.6603992459305342,0.6541283196313115,0.03741845,5
20,dt,0.6579008098015356,0.6435165162374904,0.6494596017561077,0.036892164,75
21,dt,0.6017766482248503,0.5858323665857031,0.594893929,0.037493261,5
22,dt,0.6384619764911798,0.6158852189208494,0.6326250007903627,0.037032551,10
23,dt,0.6355728251943583,0.627385146,0.6472907257808914,0.037043948,15
24,dt,0.6506764330370255,0.6405382295388321,0.6493061865100731,0.036867596,20
25,rf,0.6979098608771751,0.6842273919729214,0.7021163031508445,0.036339955,75
26,rf,0.693156548,0.6838252726297888,0.6974579442713755,0.036437114,20
27,rf,0.6826459111316242,0.6753205597785928,0.6887512278332032,0.036520667,15
28,rf,0.6658864359741296,0.6643512821243664,0.6726663163265636,0.036703925,10
29,rf,0.6567034903585065,0.6544218172718758,0.6623805321615495,0.036739099,5
30,gbm,0.701266551,0.692452774,0.7076995341942289,0.036018016,75
31,gbm,0.7035323171353046,0.6940199251015823,0.7111769614571118,0.035868875,75
32,gbm,0.6755354220738352,0.6806443111387477,0.675318221,0.036337209,5
33,gbm,0.6862903177467018,0.6832673101043045,0.6940741052703111,0.036513252,10
34,gbm,0.6960561885980423,0.689235285,0.7036294180305663,0.036440625,15
35,gbm,0.693450258,0.6878719032331518,0.7007486104617147,0.036437924,20
36,gbm2,0.6945172060348497,0.6892929717699066,0.6980021646773104,0.036417331,74
37,gbm2,0.6963424063873022,0.6929839513656582,0.7001454842871387,0.036196443,20
38,gbm2,0.699319971,0.6943212339040034,0.7027092777250976,0.03622743,15
39,gbm2,0.6869676498972014,0.6811445019142123,0.6954913319085158,0.036380918,10
40,gbm2,0.6581660482763995,0.6590008241779796,0.6626522402669018,0.037016779,5
41,gbm2,0.6908937787341681,0.686263861,0.6979130057717352,0.036458826,11
42,gbm2,0.6965342172617799,0.689354194,0.7039901262471547,0.036421687,12
43,gbm2,0.6984942846353496,0.6933604271790385,0.7037633618439807,0.036265509,13
44,gbm2,0.6961296161984284,0.6912947483388031,0.6996601797885313,0.036024721,14
45,gbm2,0.6939222926194772,0.6903465942975121,0.6954097777311985,0.036372739,16
46,gbm2,0.6788036995522415,0.6798934471877492,0.6868213826263987,0.03645523,6
47,gbm2,0.6873048174499943,0.6856081519558851,0.6942794320258754,0.036340524,7
48,gbm2,0.6845924918030821,0.6833173462279943,0.6928169352370275,0.036278764,8
49,gbm2,0.6820405080590538,0.68120207,0.6902167237848842,0.036552819,9
50,gbm2,0.6972340272491323,0.6922046557275217,0.7002171379422618,0.036279806,17
51,gbm2,0.6894581942204986,0.68570385,0.6908073004633132,0.036391903,18
52,gbm2,0.6964023472855764,0.6930044566546547,0.6990189034931246,0.036162155,19
53,cph,0.644475547,0.6348223997839506,0.6478177855461736,0.036775161,6
54,cph,0.6627575210842109,0.6545636162994504,0.6612939443408197,0.037238799,7
55,cph,0.662430843,0.6541440253630859,0.660906065,0.03722331,8
56,cph,0.6608064448453824,0.652082255,0.6594069604145957,0.037231118489121674,9
57,cph,0.6767297444719507,0.6653083707645313,0.6724491037303792,0.037052864090101605,11
