,importances_mean,importances_std
creatinine,0.018387946730721173,0.0022430343395903256
haemoglobin,0.0175364787567583,0.001597224123648847
albumin,0.014631933814805875,0.0024834489252829883
age,0.01446635254226627,0.001387342305992285
kccq_summ_bl,0.014374728099047251,0.0023106486831919234
av_area_tte,0.010017859224229242,0.0007006463522020725
lvef_value,0.009898432833871595,0.0010054726188054562
weight,0.008567803429064002,0.0012050764796621173
platelet_count,0.00850034953144696,0.000275629910743367
ascending_ao,0.00786515345398533,0.00022394184124910165
bmi,0.007857628142168439,0.001459180033617818
height,0.007697385148245184,0.0005565398940645473
av_mean_grad_tte,0.007527888763302615,0.0005085402601165885
rca_height,0.007093816486848548,0.0006359302424672038
lmca_height,0.006932381763545781,0.000642186164048058
prior_af_1.0,0.006881067925430928,0.0006992013738909173
perimeter,0.006738964348489041,0.0008033747387025773
av_peak_vel,0.006464865001532272,0.00032107711131322975
annulus_area_ctaort,0.0060661452350846854,0.000892463924933408
iliac_mld_right,0.0059823625799088065,0.00035265207635269257
lv_internal_dia_dim_value,0.0050957170371680235,0.00032918688944699157
iliac_mld_left,0.005011039680326834,0.0001896224936133116
annulus_max_dim,0.004928586327486983,0.00045114116602335767
ckd_1.0,0.0047083680070842075,0.00038356521380285876
prior_pad_1.0,0.004595929622895523,0.0005906419699126316
prior_ccf_1.0,0.004560727117828267,0.0006948795734836713
femoral_mld_left,0.004546191263440802,0.00030152302202990713
femoral_mld_right,0.004348020755584936,0.00035910946357425616
annulus_min_dim,0.004188555296694418,0.0002456898843302542
meds_diuretics_1.0,0.004073683835509922,0.00031843017611228407
septal_wall,0.0038748017591788255,0.0003389879796587093
posterior_wall,0.002873012653023488,0.00014632124829714097
ecg_rhythm_sinus_1.0,0.002760848444130537,0.00093169284147513
prior_bav_1.0,0.0026364885176154208,0.0005718698782156359
chronic_lung_4.0,0.0025899080351999837,0.00033143670223348426
nyha_status_3.0,0.002554013913977671,0.00028962201041400675
chronic_lung_3.0,0.0020742208753743,0.0002758414918410896
ecg_rhythm_Fibrillation_1.0,0.0015357965019855645,0.0007325218276612001
anaesthesia_4.0,0.0015211346642193702,0.00013472606871140484
artery_calc_2.0,0.0014366742608491689,0.000279593214653312
artery_calc_4.0,0.0013928583438134634,0.00023500747940075032
