,importances_mean,importances_std
kccq_summ_bl,0.029676942866396903,0.0013294492598112263
age,0.028704906938735196,0.001276817329957984
weight,0.026445594920884365,0.0011783268324014366
creatinine,0.017724138043579373,0.0005015478734999435
haemoglobin_adj,0.014969037892609439,0.00019744382783548788
prior_af_1.0,0.0148398755249473,0.0006801847340527944
av_peak_vel,0.013894451810617436,0.0004204127343888988
lvef_value,0.013575430876478367,0.0004904916175965268
av_mean_grad_tte,0.01268709844398086,0.00035838667622834343
av_area_tte,0.012350926567720188,0.0007470188328479041
creatinine_adj,0.011796520362761775,0.0009604420027120086
prior_carotid_sten_5.0,0.009913961898597789,0.0005127349607647175
prior_ccf_1.0,0.00859200864632086,0.0006488852291371552
albumin_adj,0.008585229836229424,0.0004117609814285089
ecg_rhythm_sinus_1.0,0.007810196164397288,0.000442578649498
mitral_regurg_1.0,0.006381346580985747,0.00017611610386475318
anaesthesia_4.0,0.006298976949603264,0.0008705157023845616
prior_pad_1.0,0.006274530913359033,0.00037888436272516117
meds_diuretics_1.0,0.006135542733213417,0.00014339306959339286
meds_statins_1.0,0.005967560761800228,0.0001236784407706723
nyha_status_3.0,0.005769354507756619,0.0005791067042864379
chronic_lung_3.0,0.005619235367640374,0.00040931089742639976
ckd_1.0,0.0055539561961641,0.0004314812551535145
meds_aspirin_1.0,0.005365132856975619,0.00029551247957682356
anaesthesia_2.0,0.004947655694222663,0.0006590004011192479
meds_ACE_ARB_1.0,0.0043853359554064,0.00013989285198958204
initial_bav_1.0,0.004202433957521623,0.00011648513990137714
meds_p2y12_1.0,0.00416829311590754,0.00040273952586470133
iliofem_tort_2.0,0.003727299268672257,0.00011517576472241367
annualar_calc_ctaort_1.0,0.0035184828586767524,0.00010674321342276932
platelet_count_adj,0.0034213594003750457,0.0002183309700608829
aortic_insuff_3.0,0.0034109418871699714,0.00031523829392277145
cad_1.0,0.003392734931946273,9.831303205817444e-05
artery_calc_2.0,0.003192752682218658,0.00014119448286598152
artery_calc_4.0,0.0029542855161340366,0.00031655957974818024
gender_2.0,0.002948239436142153,0.00022178435374672952
ecg_conduct_none_1.0,0.0029284936742395296,0.0002524787114863413
chronic_lung_2.0,0.0029136655176861927,0.00014781871453543383
hypertension_1.0,0.002716772596131234,0.00013931247076225649
ecg_rhythm_Fibrillation_1.0,0.0026732803185822275,0.00030742177826840973
meds_beta_blocker_1.0,0.0023863381427034367,0.00015492410125275905
diabetes_1.0,0.002284371925886308,6.700870157396062e-05
aortic_insuff_2.0,0.00224953895783937,0.0001302458220276106
iliofem_tort_3.0,0.001994496331305351,0.00012969030542203674
artery_calc_3.0,0.0016881795903541442,0.00010317022807916179
aortic_insuff_4.0,0.0016490420880149958,0.00010378359600856991
prior_pci_1.0,0.0015423721112681533,9.730713426468964e-05
prior_cardio_surg_1.0,0.001479072943156501,0.0001658399817569277
prior_acute_mi_1.0,0.0012697024817554415,0.00015502175195247414
prox_lad_1.0,0.0012495550827988477,0.00017907033316810536
ecg_conduct_RBBB_1.0,0.0012157543922320714,8.479827670476675e-05
prior_cabg_1.0,0.0011902809406477255,6.838521297746188e-05
ecg_conduct_1DAVBlock_1.0,0.0011666447537416636,8.888546269456853e-05
meds_doac_1.0,0.0011275553829053874,0.00011409368705377312
diseased_vessels_number_2.0,0.0010771767532721465,9.98725228894514e-05
prior_generator_1.0,0.0010479767344896418,0.00011367809913721155
chronic_lung_4.0,0.0010281453291180575,7.212369625816317e-05
valve_morph_1.0,0.000991779521989411,0.00011276732829389646
procedure_indic_1.0,0.0009351913537180012,0.00010137208106121939
prior_bav_1.0,0.0008588892078446708,0.00014502493284039992
ecg_rhythm_paced_1.0,0.0008048973142349647,3.607079109645389e-05
prior_valve_replace_1.0,0.0006548894698954255,4.5145717720120175e-05
valve_calc_1.0,0.0004740098456970321,6.69989538896132e-05
prior_tia_1.0,0.00047023033393718273,3.342242473188788e-05
diseased_vessels_number_4.0,0.0004595708165511914,5.822017467564411e-05
prior_stroke_1.0,0.0004445563830386634,0.00010315442590809919
ecg_conduct_LBBB_1.0,0.0003949559954148363,5.490745477075351e-05
high_cfa_burif_1.0,0.00038250054600290627,4.863231375420052e-05
av_disease_etiology_2.0,0.0003311209070379961,5.655932359085011e-05
diseased_vessels_number_3.0,0.00032657631821129127,1.8621980341621416e-05
prior_carotid_sten_4.0,0.00030706351851725875,7.594658821740222e-05
prior_carotid_sten_3.0,8.476602985809655e-05,5.832042261066246e-06
iliofem_tort_4.0,3.34212198140893e-05,2.125043794751704e-05
prior_carotid_sten_2.0,7.3016413070448035e-06,1.4164480304846145e-05
dialysis_1.0,-8.005157202388702e-05,6.640232420102867e-05
