,importances_mean,importances_std
kccq_summ_bl,0.016838851311736437,0.0032359191746427944
haemoglobin,0.01605079019295459,0.0012927175186310431
age,0.015659357713391397,0.002289013539674284
creatinine,0.014782017710048879,0.0021137737703241983
albumin,0.014279777218396194,0.0020383821468357073
weight,0.01391608783307272,0.0008016990251133654
egfr_pre,0.01156752430912511,0.0010802895383064117
av_mean_grad_tte,0.009377266344553515,0.0002997202859671526
prior_ccf_1.0,0.009345067463227474,0.0011722075356138462
av_area_tte,0.009042868007160055,0.0007717690032932171
ascending_ao,0.008377517005804736,0.0008378281300099262
height,0.007853082604501637,0.0009038110604885487
rca_height,0.006928679371497925,0.0007355606485289527
platelet_count,0.006784241365095122,0.0006308447440568311
lvef_value,0.006698513467621914,0.0005967998046244238
av_peak_vel,0.006367985360543038,0.00021935606578354713
annulus_area_ctaort,0.00618579835029287,0.0009145392912086255
annulus_max_dim,0.005452359345254986,0.0006149865305230567
annulus_min_dim,0.005326951313080941,0.00035573329020345236
perimeter,0.005260601701900391,0.0007800745814898234
lv_internal_dia_dim_value,0.005230100103138247,0.0004324320045680253
prior_af_1.0,0.005203857666976753,0.000411037865015561
lmca_height,0.0046095037174245235,0.000383689202906181
iliac_mld_right,0.0044973028543713765,0.0002951975953099155
femoral_mld_right,0.004086231462343925,0.0006598461247481089
meds_diuretics_1.0,0.004015475145954528,0.0006152408600613314
septal_wall,0.003988710903661441,0.0006718066505346744
iliac_mld_left,0.0035285464887992333,0.0005298322587637017
prior_pad_1.0,0.0035043863687754806,0.0001923027014411388
ecg_rhythm_Fibrillation_1.0,0.0033256295770623056,0.0007057289785215908
femoral_mld_left,0.0033086624559915514,0.0003591440147121928
posterior_wall,0.003134215465082124,0.0004524325079399922
ckd_1.0,0.0031121961964535984,0.0008355695171664741
meds_aspirin_1.0,0.002777033866871026,0.00016296655645936024
artery_calc_2.0,0.0025605647891225438,0.000168918035251338
ecg_rhythm_sinus_1.0,0.002503600921635818,0.00027734993752832866
chronic_lung_3.0,0.0019475082029100977,0.00017873763427482588
anaesthesia_4.0,0.0019451424000282102,0.00044621716915451174
meds_ACE_ARB_1.0,0.0018361443524715026,0.00018291696714558788
chronic_lung_2.0,0.0017541553550850298,0.0001075245061530787
device_manufacturer_1_3.0,0.0017238555603690474,0.00015273879711052217
nyha_status_3.0,0.001364232860787329,0.0002555368777027804
chronic_lung_4.0,0.0013461584092416602,0.00017542199101372604
anaesthesia_2.0,0.0012479390872446317,0.00024855080770653045
prior_stroke_1.0,0.001238598006589009,0.00011519213362151972
mitral_regurg_1.0,0.0012359275105676693,0.00015698846978427035
ecg_conduct_1DAVBlock_1.0,0.001034764963323398,8.266984833852717e-05
meds_statins_1.0,0.0010237305233955275,8.54475452270491e-05
iliofem_tort_3.0,0.00091985034298947,0.00019969381104797162
aortic_insuff_2.0,0.0009098781207814488,6.847535822779394e-05
artery_calc_4.0,0.0008851371191543666,6.785164914201175e-05
device_manufacturer_1_2.0,0.0008678638877918088,0.000581783195765745
prior_carotid_sten_5.0,0.0008574630089883684,0.00014603235064140438
valve_morph_1.0,0.0008268488225407822,0.0001552114312779001
gender_2.0,0.0008150845007414587,0.00010702610386077872
hypertension_1.0,0.0008146298594791324,0.00018342692751541052
prior_bav_1.0,0.0007913866103809397,0.00020259283604005723
meds_p2y12_1.0,0.0006669631029528444,0.0001783601222497169
iliofem_tort_2.0,0.0006650565681676657,0.00010142549976984454
prev_iliofem_interv_1.0,0.000647165206849265,6.272069392051676e-05
annualar_calc_ctaort_1.0,0.0006263056000851419,4.4490212897316525e-05
initial_bav_1.0,0.0005919763957568768,0.00016049649252793122
procedure_indic_1.0,0.0005861899394944637,0.000136851534617631
ecg_conduct_none_1.0,0.00058612272119416,0.00022225363454852256
prior_tia_1.0,0.0005763652464109148,2.5221211242173213e-05
cad_1.0,0.0005710250320461352,0.00012932038091319312
valve_calc_1.0,0.0005664988459578302,0.00014679760944517076
prox_lad_1.0,0.0005260758019016043,5.468973721160063e-05
meds_doac_1.0,0.00047174331855295295,9.854131286266263e-05
prior_cardio_surg_1.0,0.0004641570619611901,4.8761599445442465e-05
valve_in_valve_1.0,0.0004254688096817061,6.252974287475483e-05
ecg_conduct_LBBB_1.0,0.0004128591429284345,9.341448606037578e-05
prior_acute_mi_1.0,0.00040894045535151414,9.591850176980379e-05
aortic_insuff_3.0,0.0004050778255217935,5.692168581702944e-05
aortic_insuff_4.0,0.0003733317397800473,0.00014205159072415587
diseased_vessels_number_3.0,0.00037039244918390946,3.336399069524751e-05
diseased_vessels_number_4.0,0.00035405833828101586,7.430959767965216e-05
diseased_vessels_number_2.0,0.0003458380075755274,6.688667350383557e-05
prior_pci_1.0,0.0003383723618278989,8.639511222513304e-05
prior_carotid_sten_2.0,0.00032929769946961064,6.2583503397608e-05
av_disease_etiology_2.0,0.00027914318764896693,8.826429990771991e-05
prior_valve_replace_1.0,0.00027471526162474723,4.45069307633496e-05
ecg_conduct_RBBB_1.0,0.00026217214644443934,2.621194140800655e-05
prior_carotid_sten_4.0,0.0002526594464439924,6.54505272168317e-05
