,importances_mean,importances_std
creatinine,0.020163399901706548,0.001506048676425669
haemoglobin,0.01900889947392459,0.002052284482696037
weight,0.014518430578156516,0.0013417879074219313
age,0.013935023872048813,0.0014671641220329104
kccq_summ_bl,0.013872500297172774,0.0031159498659605925
albumin,0.01171063665647265,0.0026912847547975816
egfr_pre,0.010703404706926812,0.0009023644201886227
av_area_tte,0.01030761656117476,0.0008662257854304396
av_mean_grad_tte,0.010006625301288773,0.0007647164327198761
platelet_count,0.009655782257166878,0.0005247619779039881
annulus_area_ctaort,0.009079324636352925,0.0025301491576719417
height,0.0085281177405653,0.0009420511918751014
lvef_value,0.008045922864063092,0.0005912695990835489
rca_height,0.007957082327418652,0.001448144779620276
prior_ccf_1.0,0.00795085278798413,0.0008289610560399074
lmca_height,0.007698314812260687,0.0007060526399465778
ascending_ao,0.00721177111456277,0.0010676497971939217
meds_diuretics_1.0,0.005705206913323458,0.0011902581123110112
perimeter,0.005638237986785799,0.0004442970424484163
prior_af_1.0,0.005551756833175681,0.000711987184424867
femoral_mld_left,0.005482046432416165,0.0005231600729056852
lv_internal_dia_dim_value,0.005162177704919957,0.0006727771222515784
av_peak_vel,0.004955293018182938,0.000454127040386837
ckd_1.0,0.004668025166439183,0.0006890724667585078
annulus_min_dim,0.0039506102310490785,0.0002803244811026224
annulus_max_dim,0.0035506455089333367,0.0011220361579694718
prior_pad_1.0,0.0035142395411870584,0.0006951326025958122
iliac_mld_right,0.0034629819319978105,0.00029400018611109896
iliac_mld_left,0.0033277855904166875,0.0005345469978451444
mitral_regurg_1.0,0.0032652331742850428,0.0004865974677295162
ecg_rhythm_Fibrillation_1.0,0.0032156100683770504,0.0005074461617537359
nyha_status_3.0,0.002988874063019109,0.0008353466569620369
septal_wall,0.002813758646754794,0.0008497130062930646
prior_carotid_sten_5.0,0.0025700857201718776,0.00040863155812853884
chronic_lung_4.0,0.002534770941128217,0.00022597861665954358
posterior_wall,0.0023403526257944397,0.0003038655349404659
initial_bav_1.0,0.0021664052488953754,0.0003936255490373083
artery_calc_2.0,0.002030643427647405,0.0005167915802303858
