,importances_mean,importances_std
creatinine,0.028315380542359735,0.0038069839844368162
haemoglobin,0.023567578555608936,0.002407972506404551
albumin,0.023353725389639667,0.002760862181776699
kccq_summ_bl,0.022798053625026092,0.0030673466803681007
age,0.022749357166695638,0.002555976140019664
weight,0.019188978171011818,0.0012014357683716597
av_area_tte,0.011310480626309283,0.0008404316586986905
height,0.010021742761622977,0.0003164417717238503
lvef_value,0.009877456419721398,0.001206688628812665
platelet_count,0.009439441301146555,0.0009108934568496814
annulus_area_ctaort,0.009150800633804978,0.001366971184545149
prior_ccf_1.0,0.008704415585033255,0.0012267607454574344
av_mean_grad_tte,0.008695870079517309,0.0007046547226840122
prior_af_1.0,0.008257168183543561,0.0005602833748927441
rca_height,0.007645883179743795,0.0010128395516332234
ascending_ao,0.007644165013846971,0.0006160579410186939
av_peak_vel,0.007360555507963662,0.0006425304315180822
meds_diuretics_1.0,0.006808610751588562,0.00046153067286322166
femoral_mld_left,0.006101073921581923,0.0007823481244415056
lmca_height,0.0059482672680286845,0.00035020373425659844
iliac_mld_right,0.005198362520649091,0.0006558021410514361
lv_internal_dia_dim_value,0.004926814724198559,0.00043094491655285623
ecg_rhythm_Fibrillation_1.0,0.004529508783416602,0.0005342674975128178
septal_wall,0.004280812861351624,0.00046666054403038534
femoral_mld_right,0.00420820978224663,0.00035942517672575775
annulus_max_dim,0.004204986795578769,0.0011741781275766007
perimeter,0.0036581246045862105,0.000797756236169752
artery_calc_2.0,0.003639460262857641,0.0005803854450477192
iliac_mld_left,0.003611622572980111,0.0005761090386745406
annulus_min_dim,0.003468116597674653,0.00018756223357833102
prior_pad_1.0,0.0034224723070931827,0.0005671979055171785
chronic_lung_4.0,0.002846361724161639,0.0002574481382543081
mitral_regurg_1.0,0.002774543332187296,0.0002983529827734951
posterior_wall,0.0026155873999391234,0.0005454704880971075
ckd_1.0,0.0020638350052791356,0.0010457916920398951
nyha_status_3.0,0.0011878543999835234,0.00015358797874797671
prior_carotid_sten_5.0,0.000952120077176577,0.00027560431282406265
device_manufacturer_1_3.0,0.0006436641500282114,0.0005415788456550517
initial_bav_1.0,0.00043902938615763,0.0001599823927505231
artery_calc_4.0,0.00036574370746764726,0.00029248911130923494
